Character name,Allegiance,Culture,Birthyear,Deathyear,Gender,DeadAlive,POV,categories
Eden_Risley,##House Risley#,,NULL,NULL,,,,House Risley#Nobles#Characters from the Reach#
Edgerran_Oakheart,##House Oakheart#,,NULL,NULL,M,,Arys Oakheart,House Oakheart#Nobles#Characters from the Reach#
Edmund_Ambrose,##House Ambrose#,,NULL,NULL,M,,Brienne of Tarth,House Ambrose#Nobles#Characters from the Reach#Knights#
Edmure_Tully,##House Tully#,,274,NULL,M,A,Catelyn Tully,House Tully#Characters from the Riverlands#Knights#Nobles#
Edmyn_Tully,##House Tully#,,NULL,NULL,M,D,N/A,House Tully#Nobles#Characters from the Riverlands#
Edric_Dayne,##House Dayne#Brotherhood Without Banners#,#Dornish#,287,NULL,M,U,N/A,House Dayne#Nobles#Outlaws#Characters from Dorne#Squires#Members of the Brotherhood Without Banners#
Edric_Storm,##House Baratheon#,,287,NULL,M,A,Davos Seaworth,House Baratheon#Bastards#Characters from the Stormlands#Nobles#
Edrick_Stark,##House Stark#,##Northmen#,NULL,NULL,M,,Bran Stark,House Stark#Characters from the North#Monarchs#Nobles#
Edwyd_Fossoway,##House Fossoway of Cider Hall#,,NULL,299,M,D,Sansa Stark,House Fossoway of Cider Hall#Nobles#Characters from the Reach#Knights#
Edwyle_Stark,##House Stark#,##Northmen#,NULL,NULL,M,,Bran Stark,House Stark#Characters from the North#Nobles#Statues#
Edwyn_Frey,##House Frey#,,278,NULL,M,,N/A,Nobles#Characters from the Riverlands#House Frey#
Edwyn_Osgrey,##House Osgrey#,,NULL,196,,,,House Osgrey#Nobles#Characters from the Reach#Knights#
Edwyn_Stark,##House Stark#,##Northmen#,NULL,NULL,,,,Monarchs#Nobles#House Stark#Characters from the North#
Eggon,##House Clegane#,,NULL,NULL,M,A,Arya Stark,Characters from the Westerlands#House Clegane retainers#Smallfolk#
Eglantine,##Faith of the Seven#House Baratheon of King's Landing#,,NULL,NULL,F,,Arys Oakheart,Members of the Faith#Clergy#Characters from Westeros#House Baratheon retainers#
Egon_Emeros,,##Qartheen#,NULL,NULL,M,A,Daenerys Targaryen,Characters from Qarth#Members of the Pureborn#Nobles#
Elaena_Targaryen,##House Targaryen#House Plumm#House Penrose#House Manwoody#,##Valyrian#,150,NULL,,,,Characters from the Crownlands#Noblewomen#House Targaryen#
Elbert_Arryn,##House Arryn#,,NULL,282,M,D,Catelyn Tully,House Arryn#Nobles#Characters from the Vale#
Elder_Brother,##Faith of the Seven#,,256,NULL,,,,Characters from the Riverlands#Members of the Faith#Clergy#
Eldiss,,##Ironborn#,NULL,NULL,M,D,Theon Greyjoy,Smallfolk#Characters from the Iron Islands#
Eldon_Estermont,##House Estermont#,##Stormlands#,232,NULL,M,A,Davos Seaworth,Nobles#Characters from the Stormlands#House Estermont#Knights#
Eldred_Codd,##House Codd#,##Ironborn#,NULL,NULL,M,,Victarion Greyjoy,House Codd#Nobles#Characters from the Iron Islands#Crew and followers of Euron Greyjoy#
Eleanor_Mooton,##House Mooton#House Tarly#,,287,NULL,,,,House Mooton#House Tarly#Noblewomen#Characters from the Riverlands#
Eleyna_Westerling,##House Westerling#,,287,NULL,,,,House Westerling#Noblewomen#Characters from the Westerlands#
Elia_Sand,##House Martell#,##Dornishmen#,286,NULL,F,,N/A,House Martell#Bastards#Characters from Dorne#Sand Snakes#
Elia_Martell,##House Martell##House Targaryen#,,257,283,F,D,Daenerys Targaryen,Characters from Dorne#Noblewomen#House Martell#
Elinor_Tyrell,##House Tyrell#,,286,NULL,F,,Sansa Stark,Noblewomen#Characters from the Reach#House Tyrell#
Ellaria_Sand,##House Uller#House Martell#,##Dornish#,NULL,NULL,F,,Tyrion Lannister,Characters from Dorne#Bastards#House Uller#House Martell#
Ellery_Vance,##House Vance of Atranta#,,NULL,NULL,M,,N/A,House Vance of Atranta#Characters from the Riverlands#Knights#Nobles#
Ellyn_Tarbeck,##House Reyne#House Lannister#House Tarbeck#,,NULL,261,F,,Jaime Lannister,House Reyne#House Lannister#House Tarbeck#Noblewomen#Characters from the Westerlands#
Elmar_Frey,##House Frey#,,290,NULL,M,U,Catelyn Tully,Nobles#Characters from the Riverlands#House Frey#Squires#House Bolton retainers#
Elron,##Night's Watch#,,NULL,NULL,M,,N/A,Rangers of the Night's Watch#Members of the Night's Watch#
Elwood,##House Tully#,,NULL,299,M,D,Catelyn Tully,Smallfolk#Characters from the Riverlands#House Tully retainers#
Elwood_Meadows,##House Meadows#House Baratheon of Dragonstone#,,279,NULL,M,A,Davos Seaworth,House Meadows#Castellans#Characters from the Reach#Nobles#
Elyana_Vypren,##House Vypren#,,282,NULL,,,,Noblewomen#Characters from the Riverlands#House Vypren#
Elyas_Willum,##House Willum#,,NULL,NULL,M,A,Catelyn Tully,Nobles#Characters from the Reach#House Willum#
Elyn_Norridge,##House Norridge#House Tyrell#,,NULL,NULL,,,,House Norridge#House Tyrell#Noblewomen#Characters from the Reach#
Elys_Waynwood,##House Waynwood#,,NULL,NULL,M,,Sansa Stark,Nobles#Characters from the Vale#House Waynwood#
Elys_Westerling,##House Westerling#,,NULL,NULL,,,,Nobles#Characters from the Westerlands#Knights#House Westerling#
Elza,##House of Galare#,##Meereenese#,NULL,294,,,,Characters from Meereen#Slaves and freedmen#
Emberlei_Frey,##House Frey#,,297,NULL,F,,N/A,Noblewomen#Characters from the Riverlands#House Frey#
Emma,,,260,NULL,F,,Pate,Smallfolk#Characters from the Reach#
Emmon_Cuy,##House Cuy#Rainbow Guard#,,NULL,299,M,D,Catelyn Tully,Nobles#Characters from the Reach#House Cuy#Members of the Rainbow Guard#Knights#
Emmon_Frey,##House Frey of Riverrun#,,238,NULL,M,A,Sansa Stark,House Frey#Nobles#Knights#Characters from the Riverlands#
Emmond,##Drowned men#,##Ironborn#,NULL,NULL,M,,Aeron Greyjoy,Characters from the Iron Islands#Drowned men#Smallfolk#Clergy#
Emphyria_Vance,##House Vance of Wayfarer's Rest#,,NULL,NULL,,,,House Vance of Wayfarer's Rest#Characters from the Riverlands#Noblewomen#
Emrick,##Night's Watch#,,NULL,NULL,M,,Jon Snow,Characters from the Westerlands#Members of the Night's Watch#
Endehar,,,NULL,NULL,M,,Theon Greyjoy,Characters from the Iron Islands#
Endrew_Tarth,##House Tarth#Night's Watch#,,NULL,299,M,D,Jon Snow,House Tarth#Nobles#Characters from the Stormlands#Members of the Night's Watch#Masters-at-arms#
Enger,##House Tully#,,NULL,NULL,M,A,Catelyn Tully,Characters from the Riverlands#House Tully#
Eon_Hunter,##House Hunter#,,NULL,300,M,D,Tyrion Lannister,House Hunter#Nobles#Characters from the Vale#
Erik_Ironmaker,##House Ironmaker#House Greyjoy#,##Ironborn#,212,NULL,M,,Aeron Greyjoy,House Ironmaker#House Greyjoy retainers#Characters from the Iron Islands#Castellans#Nobles#
Ermesande_Hayford,##House Hayford#House Lannister#,,298,NULL,F,A,Sansa Stark,Noblewomen#Characters from the Crownlands#House Hayford#House Lannister#
Eroeh,,##Lhazareen#,NULL,298,F,D,Daenerys Targaryen,Characters from Lhazar#Slaves and freedmen#
Erreck,,,NULL,NULL,M,,Tyrion Lannister,Maesters#Bastards#
Erreg,,##Andal#,NULL,NULL,M,,Arya Stark,Characters from the Riverlands#Kinslayers#Monarchs#Nobles#
Erren_Florent,##House Florent#,,NULL,NULL,M,A,Davos Seaworth,Nobles#Characters from the Reach#House Florent#Knights#
Errok,,##Free Folk#,NULL,NULL,M,,Jon Snow,Wildlings#Characters from Beyond the Wall#
Erryk,,,NULL,NULL,M,,Sansa Stark,Disambiguation pages#
Erryk_(Guard),##House Tyrell#,,NULL,NULL,,,,Characters from the Reach#House Tyrell retainers#Smallfolk#
Esgred,,,NULL,NULL,F,A,Theon Greyjoy,Smallfolk#Characters from the Iron Islands#
Ethan_Glover,##House Glover#,,NULL,283,M,D,Eddard Stark,Nobles#Characters from the North#House Glover#Squires#
Euron_Greyjoy,,##Ironborn#,NULL,NULL,M,A,N/A,Articles with unsourced statements#House Greyjoy#Characters from the Iron Islands#Monarchs#Nobles#Exiles#Pirates#
Eustace_(Braavos),##Faith of the Seven#,,NULL,NULL,,,,Members of the Faith#Clergy#Characters from Westeros#
Eustace_(Dance_of_the_Dragons),##Faith of the Seven#,,NULL,NULL,,,,Members of the Faith#Clergy#Characters from Westeros#
Eustace_Brune,##House Brune of the Dyre Den#,,NULL,NULL,M,,Brienne of Tarth,Nobles#Characters from the Crownlands#House Brune of the Dyre Den#
Eustace_Hunter,##House Hunter#,,NULL,NULL,M,,N/A,Knights#Nobles#Characters from the Vale#House Hunter#
Eustace_Osgrey,##House Osgrey#,,NULL,NULL,,,,House Osgrey#Nobles#Characters from the Reach#Knights#
Eyron_Stark,##House Stark#,##Northmen#,NULL,NULL,M,,Bran Stark,House Stark#Monarchs#Nobles#Characters from the North#
Ezzara,,##Ghiscari#,NULL,NULL,F,,Daenerys Targaryen,Characters from Meereen#
Ezzelyno,##R'hllor#,##Braavosi#,NULL,NULL,M,,Arya Stark,Characters from Braavos#Red priests#Clergy#
Falena_Stokeworth,##House Stokeworth#House Lothston#,,125,NULL,,,,House Stokeworth#House Lothston#Characters from the Crownlands#Mistresses of Aegon IV Targaryen#Noblewomen#
Falia_Flowers,##House Hewett#,,283,NULL,F,,Victarion Greyjoy,House Hewett#Bastards#Characters from the Reach#
Falyse_Stokeworth,##House Stokeworth#House Byrch#,,265,300,F,D,Sansa Stark,House Stokeworth#House Byrch#Noblewomen#Characters from the Crownlands#Followers and collaborators of Cersei Lannister#
Farlen,##House Stark#,,NULL,299,M,D,Bran Stark,Characters from the North#House Stark retainers#Smallfolk#
House_Farman,,,NULL,NULL,,,,House Farman#Noble houses#Houses from the Westerlands#
Fearless_Ithoke,##House of Loraq#,##Ghiscari#,NULL,NULL,,,,Characters from Meereen#Pit fighters#Slaves and freedmen#
House_Fell,,,NULL,NULL,,,,Noble houses#Houses from the Stormlands#House Fell#
Fern,,,NULL,NULL,,,,Smallfolk#Characters from the Riverlands#
Ferny,,##Free Folk#,NULL,NULL,F,,Arya Stark,Wildlings#Characters from Beyond the Wall#
Ferrego_Antaryon,,##Braavosi#,NULL,NULL,M,,N/A,Characters from Braavos#Nobles#
Ferret,,,NULL,NULL,,,,Smallfolk#Characters from the Crownlands#
Flement_Brax,##House Brax#,,NULL,NULL,M,A,Tyrion Lannister,House Brax#Nobles#Characters from the Westerlands#Knights#
Fogo,,##Dothraki#,NULL,298,M,D,Daenerys Targaryen,Characters from the Dothraki sea#Khals#
Forley_Prester,##House Prester#,,NULL,NULL,M,A,Tyrion Lannister,Nobles#Characters from the Westerlands#House Prester#
Fornio,##Night's Watch#,,NULL,NULL,M,,Samwell Tarly,Rangers of the Night's Watch#Members of the Night's Watch#
Franklyn_Fowler,##House Fowler#,,NULL,NULL,M,,Arianne Martell,Nobles#Characters from Dorne#House Fowler#Wardens#
Franklyn_Frey,##House Frey#,,NULL,NULL,,,,House Frey#Nobles#Characters from the Riverlands#
Fralegg,,##Ironborn#,NULL,NULL,M,,Victarion Greyjoy,Characters from the Iron Islands#
Frenken,,,NULL,NULL,M,A,Tyrion Lannister,Maesters#Characters from Westeros#House Stokeworth retainers#
Frenya,,##Free Folk#,NULL,300,F,D,Theon Greyjoy,Wildlings#Characters from Beyond the Wall#Warrior Women#Spearwives#
Frynne,,,NULL,NULL,M,,Arianne Martell,Smallfolk#Characters from Dorne#
Gage,##House Stark#,,NULL,NULL,M,U,Bran Stark,Characters from the North#House Stark retainers#Smallfolk#
Galazza_Galare,##Graces#House of Galare#,##Ghiscari#,217,NULL,,,,Characters from Meereen#Noblewomen#House of Galare#
Galbart_Glover,##House Glover#,##Northmen#,NULL,NULL,M,U,Eddard Stark,House Glover#Nobles#Characters from the North#
Galladon,,,NULL,NULL,M,,Brienne of Tarth,Legendary Heroes#Knights#Characters from the Stormlands#
Galladon_of_Tarth,##House Tarth#,,277,285,,,,Nobles#Characters from the Stormlands#House Tarth#
Gallard,,,NULL,NULL,,,,Archmaesters#Scribes#Characters from Westeros#
Galt,##Stone Crows#,##Mountain clans#,NULL,NULL,,,,Characters from the Vale#Tyrion Lannister's household#Members of the mountain clans of the Vale#
Galtry_the_Green,,,NULL,NULL,,,,Knights#
Galyeon_of_Cuy,,,NULL,NULL,,,,Singers#Characters from the Reach#
Gared,##Night's Watch#[1]#(formerly)#[2]#,,246,297,M,D,Will,Outlaws#Deserters of the Night's Watch#Rangers of the Night's Watch#Characters from Westeros#
Gareth_Clifton,##House Clifton#,,NULL,NULL,,,,House Clifton#Nobles#Characters from the Westerlands#Knights#
Gareth_the_Grey,,,NULL,NULL,,,,Knights#Characters from Westeros#
Garigus,##Alchemists' Guild#,,NULL,NULL,M,,Jaime Lannister,Alchemists' Guild#Characters from the Crownlands#
Garin_(Orphans),,##Dornish#,NULL,NULL,,,,Characters from Dorne#
Garin_(Prince),##Rhoynar#,##Rhoynar#,NULL,NULL,,,,Characters from the Rhoyne#Monarchs#Legendary Heroes#
Gariss,##House Stark#,,NULL,NULL,,,,Characters from the North#House Stark retainers#Smallfolk#
Garizon,,,NULL,NULL,,,,Archmaesters#Characters from Westeros#
Garlan_Tyrell,##House Tyrell of Brightwater Keep#,,277,NULL,M,A,N/A,House Tyrell#Nobles#Characters from the Reach#Knights#
Garrett_Flowers,##House Tyrell#,,NULL,NULL,M,A,N/A,Bastards#Characters from the Reach#House Tyrell#
Garrett_Paege,##House Paege#,,NULL,NULL,M,,Jaime Lannister,House Paege#Nobles#Characters from the Riverlands#Squires#House Lannister retainers#
Garrison_Prester,##House Prester#,,NULL,NULL,M,,Jaime Lannister,Nobles#Characters from the Westerlands#House Prester#
Garse_Flowers,##House Tyrell#,,NULL,NULL,M,A,N/A,Bastards#Characters from the Reach#House Tyrell#
Garse_Goodbrook,##House Goodbrook#,,NULL,299,M,D,Merrett Frey,House Goodbrook#Nobles#Characters from the Riverlands#Knights#
Garth_of_Greenaway,##Night's Watch#,,NULL,300,,,,Deserters of the Night's Watch#Characters from Westeros#Rangers of the Night's Watch#Members of the Night's Watch#
Garth_Gardener_(Greenhand),,##First Men#,NULL,NULL,,,,Nobles#Characters from the Reach#Monarchs#Deities#Legendary Heroes#
Garth_XII_Gardener,,,NULL,NULL,M,,Cersei Lannister,Nobles#Monarchs#Characters from the Reach#House Gardener#
Garth_Greenfield,##House Greenfield#,,NULL,NULL,M,A,Catelyn Tully,House Greenfield#Nobles#Characters from the Westerlands#Knights#
Garth_Greyfeather,##Night's Watch#,,NULL,300,,,,Members of the Night's Watch#Rangers of the Night's Watch#
Garth_Hightower,##House Hightower#,,NULL,NULL,M,,Samwell Tarly,Nobles#Characters from the Reach#House Hightower#
Garth_of_Oldtown,##Night's Watch#,,NULL,299,,,,Rangers of the Night's Watch#Members of the Night's Watch#Characters from the Reach#
Garth_Tyrell,##House Tyrell#,,NULL,NULL,M,D,N/A,Nobles#Characters from the Reach#House Tyrell#
Gascoyne,##House Martell#,,NULL,NULL,M,,Arys Oakheart,Knights#Characters from Dorne#House Martell retainers#
Gavin,,##Free Folk#,NULL,NULL,M,,Jon Snow,Wildlings#Characters from Beyond the Wall#
Gawen_Glover,##House Glover#,,296,NULL,M,,N/A,House Glover#Nobles#Characters from the North#
Gawen_Swann,##House Swann#,,152,NULL,M,D,N/A,House Swann#Nobles#Characters from the Stormlands#
Gawen_Westerling,##House Westerling#,,NULL,NULL,M,A,Catelyn Tully,Nobles#Characters from the Westerlands#House Westerling#
Gawen_Wylde,##House Wylde#,,NULL,283,M,D,Catelyn Tully,Nobles#Characters from the Stormlands#House Wylde#Masters-at-arms#
Gelmarr,##House Greyjoy#,,NULL,299,,,,Characters from the Iron Islands#
Gendel,,##Free Folk#,NULL,NULL,M,F,Jon Snow,Wildlings#Characters from Beyond the Wall#Monarchs#
Gendry,##brotherhood without banners#,,284,NULL,M,A,Eddard Stark,House Baratheon#Smallfolk#Bastards#Knights#Characters from the Crownlands#Recruits of the Night's Watch#Members of the Brotherhood Without Banners#House Lannister retainers#House Bolton retainers#Blacksmiths#
Genna_Lannister,##House Lannister##House Frey of Riverrun#,,245,NULL,,,,Noblewomen#Characters from the Westerlands#House Lannister#House Frey#
Gerald_Gower,##House Gower#King's men#,,NULL,NULL,M,,Davos Seaworth,House Gower#Characters from the Stormlands#Knights#Members of the king's men#Nobles#
Gerardys,#The#blacks#,,NULL,130,M,,Tyrion Lannister,Grand Maesters#Characters from Westeros#
Gergen,,,NULL,NULL,M,,Arya Stark,Smallfolk#
Gerion_Lannister,##House Lannister#,,255,291,M,U,N/A,Nobles#Knights#House Lannister#Characters from the Westerlands#
Gerold_Dayne,##House Dayne of High Hermitage#,##Dorne#,274,NULL,M,,Arianne Martell,House Dayne of High Hermitage#Nobles#Characters from Dorne#Knights#
Gerold_Grafton,##House Grafton#,,NULL,NULL,M,,Sansa Stark,Nobles#Characters from the Vale#House Grafton#
Gerold_Hightower,##House Hightower#Kingsguard#,,NULL,283,M,D,Bran Stark,House Hightower#Characters from the Reach#Lords Commander of the Kingsguard#Members of the Kingsguard#Nobles#
Gerold_Lannister,##House Lannister#,,NULL,244,,,,Nobles#Characters from the Westerlands#House Lannister#
Gerren,,,NULL,NULL,M,D,Arya Stark,Smallfolk#Characters from the Crownlands#Recruits of the Night's Watch#
Gerrick_Kingsblood,##House Redbeard#,##Free folk#,NULL,NULL,M,,Jon Snow,Wildlings#Characters from Beyond the Wall#
Gerris_Drinkwater,##House Drinkwater#Windblown#,##Dornish#,275,NULL,M,,Quentyn Martell,Nobles#Knights#Characters from Dorne#House Drinkwater#Mercenaries#Windblown#
Gevin_Harlaw,##House Harlaw#,##Ironborn#,NULL,299,M,A,Theon Greyjoy,Nobles#Characters from the Iron Islands#House Harlaw#
Ghael,,##Astapori#,NULL,NULL,M,,Daenerys Targaryen,Characters from Astapor#Slaves and freedmen#Nobles#Lowborn nobles#
Ghost_of_High_Heart,,,NULL,NULL,,,,Characters from the Riverlands#Children of the Forest#Smallfolk#Dwarfs#Woods-witches#Collaborators of the Brotherhood Without Banners#
Gilbert_Farring,##House Farring#,,NULL,NULL,M,,Davos Seaworth,Nobles#Castellans#Characters from the Crownlands#House Farring#Knights#
Gillam,,,NULL,NULL,M,,Brienne of Tarth,Characters from the Riverlands#Members of the Faith#Clergy#Characters from Westeros#
Gilly,,##Free Folk#,284,NULL,F,A,Jon Snow,Wetnurse#Wildlings#Characters from Beyond the Wall#
Gilwood_Hunter,##House Hunter#,,254,NULL,M,,Sansa Stark,Knights#Nobles#Characters from the Vale#House Hunter#
Gladden_Wylde,##House Wylde#,,NULL,298,M,D,Eddard Stark,House Wylde#Nobles#Characters from the Stormlands#Knights#
Glendon_Flowers,,,196,NULL,,,,House Ball#Bastards#Knights#Characters from the Crownlands#
Glendon_Hewett,##Night's Watch#,,NULL,NULL,M,,Jon Snow,Nobles#Characters from the Reach#Members of the Night's Watch#House Hewett#
Goady,##Night's Watch#,,NULL,NULL,M,,Chett,Rangers of the Night's Watch#Members of the Night's Watch#
Godric_Borrell,##House Borrell#,,NULL,NULL,M,,N/A,House Borrell#Nobles#Characters from the Vale#
Godry_Farring,##House Farring#House Baratheon of Dragonstone#Queen's men#,,NULL,NULL,M,,N/A,House Farring#Characters from the Crownlands#Knights#Members of the queen's men#Nobles#
Godwyn,##House Lannister#,,NULL,NULL,M,U,Catelyn Tully,Smallfolk#House Lannister retainers#Characters from the Westerlands#
Goghor_the_Giant,##House of Loraq#,##Ghiscari#,NULL,NULL,,,,Characters from Meereen#Ruling council of Meereen#Pit fighters#Slaves and freedmen#
Goodwin,##House Tarth#,,NULL,NULL,,,,Knights#House Tarth retainers#Masters-at-arms#
Gorghan_of_Old_Ghis,,##Ghis#,NULL,NULL,,,,Characters from Ghis#Scribes#
Gormon_Peake,##House Peake#,,NULL,211,,,,House Peake#Nobles#Characters from the Reach#
Gormon_Tyrell,#The#Citadel#,,NULL,NULL,,,,House Tyrell#Maesters#Nobles#Characters from the Reach#
Gormond_Drumm,##House Drumm#,##Ironborn#,NULL,NULL,M,,Aeron Greyjoy,House Drumm#Nobles#Characters from the Iron Islands#
Gormond_Goodbrother,##House Goodbrother#,##Ironborn#,283,NULL,M,,Aeron Greyjoy,House Goodbrother#Nobles#Characters from the Iron Islands#
Gorne,,##Free Folk#,NULL,NULL,M,F,Jon Snow,Wildlings#Characters from Beyond the Wall#Monarchs#
Gorold_Goodbrother,##House Goodbrother#,##Ironborn#,NULL,NULL,M,A,Theon Greyjoy,House Goodbrother#Nobles#Characters from the Iron Islands#Followers of Victarion Greyjoy#Crew and followers of Euron Greyjoy#
Gowen_Baratheon,##House Baratheon#,,NULL,NULL,M,D,Eddard Stark,House Baratheon#Nobles#Characters from the Stormlands#
Gran_Goodbrother,##House Goodbrother#,##Ironborn#,NULL,NULL,M,,Aeron Greyjoy,House Goodbrother#Nobles#Characters from the Iron Islands#
Grance_Morrigen,##House Morrigen#,,NULL,NULL,M,D,N/A,Nobles#Characters from the Stormlands#House Morrigen#Knights#
Grazdan,,##Astapori#,NULL,299,M,,Daenerys Targaryen,Characters from Astapor#Nobles#Slavers#
Grazdan_(Great),,##Ghiscari#,NULL,NULL,,,,Characters from Ghis#
Grazdan_mo_Eraz,##Wise Masters#House of Eraz#,##Ghiscari#,NULL,NULL,M,,Daenerys Targaryen,Characters from Yunkai#Nobles#Slavers#House of Eraz#
Grazdan_mo_Ullhor,##Good Masters#House of Ullhor#,##Astapori#,NULL,299,M,D,Daenerys Targaryen,Nobles#Slavers#Characters from Astapor#
Grazdan_zo_Galare,##House of Galare#,##Meereenese#,NULL,NULL,M,,Daenerys Targaryen,Characters from Meereen#Nobles#Slavers#House of Galare#
Grazdar_zo_Galare,##House of Galare#,##Ghiscari#,NULL,NULL,,,,Characters from Meereen#Courtiers and followers of Daenerys Targaryen#Nobles#House of Galare#
Great_Walrus,,##Free Folk#,NULL,NULL,,,,Wildlings#Characters from Beyond the Wall#
Greenbeard,##Brotherhood without banners#,##Tyroshi#,NULL,NULL,,,,Characters from Tyrosh#Outlaws#Members of the Brotherhood Without Banners#
Gregor_Clegane,##House Clegane#House Lannister#,,266,300,M,D,Sansa Stark,House Clegane#Nobles#Characters from the Westerlands#Knights#House Lannister retainers#
Grenn,##Night's Watch#,##Westeros#,282,NULL,M,A,Jon Snow,Members of the Night's Watch#Rangers of the Night's Watch#Characters from the North#
Gretchel,##House Arryn#,,NULL,NULL,F,,Sansa Stark,Smallfolk#Characters from the Vale#House Arryn retainers#
Grey_King,,##Ironborn#,NULL,NULL,,,,Legendary Heroes#Characters from the Iron Islands#Monarchs#
Grey_Worm,#The#Unsullied#House Targaryen#,,NULL,NULL,M,A,Daenerys Targaryen,Characters from Essos#Courtiers and followers of Daenerys Targaryen#Eunuchs#Ruling council of Meereen#Unsullied#
Greydon_Goodbrother,##House Goodbrother#,##Ironborn#,NULL,NULL,M,,Aeron Greyjoy,House Goodbrother#Nobles#Characters from the Iron Islands#
Griffin_King,,##First Men#,NULL,NULL,,,,Legendary Heroes#Characters from the Vale#
Grigg,,##Free Folk#,NULL,NULL,M,,Jon Snow,Wildlings#Characters from Beyond the Wall#
Grisel,##House Baelish#,,NULL,NULL,F,,Sansa Stark,Smallfolk#Characters from the Vale#Wetnurse#House Baelish retainers#
Grisella,,##Free Folk#,NULL,NULL,F,,Varamyr Sixskins,Wildlings#Skinchangers#Characters from Beyond the Wall#
Groleo,##House Targaryen#,##Pentoshi#,NULL,300,M,,Daenerys Targaryen,Characters from Pentos#Courtiers and followers of Daenerys Targaryen#Sailors#
Grubbs,##Night's Watch#,,NULL,300,M,,Chett,Rangers of the Night's Watch#Members of the Night's Watch#Deserters of the Night's Watch#Characters from Westeros#
Grunt,##House Bolton#,##Northmen#,NULL,NULL,M,,Theon Greyjoy,Smallfolk#Characters from the North#House Bolton retainers#Spies#
Gueren,##Night's Watch#,,NULL,NULL,M,A,Jon Snow,Members of the Night's Watch#Characters from the North#
Gulian,,,NULL,NULL,M,,Jaime Lannister,Maesters#
Gulian_Qorgyle,##House Qorgyle#,,NULL,NULL,,,,Nobles#Characters from Dorne#House Qorgyle#
Gulian_Swann,##House Swann#,,259,NULL,M,A,Maester Cressen,Nobles#Characters from the Stormlands#House Swann#
Guncer_Sunglass,##House Sunglass#,,NULL,299,M,D,Maester Cressen,House Sunglass#Characters from the Crownlands#Nobles#
Gunthor,##Stone Crows#,,NULL,NULL,M,A,Tyrion Lannister,Characters from the Vale#Members of the mountain clans of the Vale#
Gunthor_Hightower,##House Hightower#,,NULL,NULL,M,,Samwell Tarly,Nobles#Characters from the Reach#House Hightower#
Gurn,##Stone Crows#,##Mountain clans#,NULL,NULL,M,U,Tyrion Lannister,Characters from the Vale#Members of the mountain clans of the Vale#
Guthor_Grimm,##House Grimm#,,NULL,NULL,M,,Cersei Lannister,Nobles#Characters from the Reach#House Grimm#
Guyard_Morrigen,##House Morrigen#Rainbow Guard#,,283,299,M,D,Catelyn Tully,Nobles#Characters from the Stormlands#House Morrigen#Knights#Members of the Rainbow Guard#
Guyne,,,NULL,NULL,,,,Archmaesters#Characters from Westeros#
Gwayne_Corbray,##House Corbray#Kingsguard#,,NULL,NULL,,,,Nobles#Characters from the Vale#Members of the Kingsguard#House Corbray#Knights#
Gwayne_Gaunt,##House Gaunt#Kingsguard#,,NULL,NULL,M,,Jaime Lannister,House Gaunt#Nobles#Characters from the Crownlands#Members of the Kingsguard#Knights#
Gwayne_Hightower,##House Hightower#City Watch of King's Landing#The greens#,,NULL,130,M,D,N/A,Characters from the Reach#Knights#Nobles#House Hightower#
Gwin_Goodbrother,##House Goodbrother#,##Ironborn#,NULL,NULL,F,,Aeron Greyjoy,House Goodbrother#Noblewomen#Characters from the Iron Islands#
Gwynesse_Harlaw,##House Harlaw#,,NULL,NULL,,,,Noblewomen#Characters from the Iron Islands#House Harlaw#
Gylbert_Farwynd,##House Farwynd of the Lonely Light#,##Ironborn#,NULL,NULL,M,,Aeron Greyjoy,House Farwynd of the Lonely Light#Nobles#Characters from the Iron Islands#
Gyldayn,#The Citadel#,,NULL,NULL,M,D,N/A,Archmaesters#Characters from Westeros#
Gyleno_Dothare,,##Braavosi#,NULL,NULL,M,,Arya Stark,Characters from Braavos#
Gyles,##Kingsguard#,,NULL,NULL,M,,Jaime Lannister,Knights#Members of the Kingsguard#
Gyles_Farwynd,##House Farwynd of the Lonely Light#,##Ironborn#,NULL,NULL,M,,N/A,Nobles#Characters from the Iron Islands#House Farwynd of the Lonely Light#
Gyles_III_Gardener,,,NULL,NULL,,,,House Gardener#Nobles#Monarchs#Characters from the Reach#
Gyles_Grafton,##House Grafton#,,NULL,NULL,M,,Sansa Stark,House Grafton#Nobles#Characters from the Vale#Squires#House Arryn retainers#
Gyles_Rosby,##House Rosby#,,NULL,300,M,D,Sansa Stark,House Rosby#Nobles#Characters from the Crownlands#Masters of coin#
Gyloro_Dothare,,##Braavosi#,NULL,NULL,M,,Arya Stark,Characters from Braavos#
Gynir,##House Greyjoy#,,NULL,299,M,D,Theon Greyjoy,Characters from the Iron Islands#
Gysella_Goodbrother,##House Goodbrother#,##Ironborn#,NULL,NULL,F,,Aeron Greyjoy,Noblewomen#Characters from the Iron Islands#House Goodbrother#
Haegon_Blackfyre,##House Blackfyre#,,193,219,,,,Characters from the Crownlands#Claimants to the Iron Throne#Nobles#House Blackfyre#Exiles#
Haggo,,##Dothraki#,NULL,298,M,D,Daenerys Targaryen,Characters from the Dothraki sea#Members of Drogo's khalasar#
Haggon,,##Free Folk#,NULL,NULL,M,D,Varamyr Sixskins,Wildlings#Characters from Beyond the Wall#Skinchangers#
Hairy_Hal,##Night's Watch#,,NULL,300,,,,Rangers of the Night's Watch#Members of the Night's Watch#
